x y z
1.4 0.0 2.4 3.8
1.39 0.0 2.44 3.82
1.38 0.0 2.46 3.84
1.38 0.0 2.48 3.86
1.39 0.0 2.49 3.88
1.4 0.0 2.5 3.9
1.42 0.0 2.49 3.91
1.44 0.0 2.48 3.92
1.46 0.0 2.46 3.92
1.48 0.0 2.44 3.92
1.5 0.0 2.4 3.9
1.38 -0.23 2.4 3.55
1.37 -0.23 2.44 3.58
1.36 -0.23 2.46 3.6
1.36 -0.23 2.48 3.62
1.37 -0.23 2.49 3.64
1.39 -0.23 2.5 3.65
1.4 -0.23 2.49 3.66
1.42 -0.24 2.48 3.67
1.44 -0.24 2.46 3.66
1.46 -0.24 2.44 3.65
1.48 -0.25 2.4 3.63
1.33 -0.45 2.4 3.28
1.32 -0.44 2.44 3.31
1.31 -0.44 2.46 3.33
1.31 -0.44 2.48 3.35
1.32 -0.44 2.49 3.37
1.33 -0.45 2.5 3.38
1.35 -0.45 2.49 3.39
1.37 -0.46 2.48 3.39
1.39 -0.47 2.46 3.38
1.41 -0.47 2.44 3.37
1.42 -0.48 2.4 3.35
1.25 -0.65 2.4 3.0
1.23 -0.64 2.44 3.03
1.23 -0.64 2.46 3.05
1.23 -0.64 2.48 3.07
1.24 -0.64 2.49 3.09
1.25 -0.65 2.5 3.1
1.26 -0.66 2.49 3.1
1.28 -0.67 2.48 3.1
1.3 -0.68 2.46 3.09
1.32 -0.69 2.44 3.07
1.33 -0.69 2.4 3.04
1.13 -0.83 2.4 2.7
1.12 -0.82 2.44 2.73
1.12 -0.82 2.46 2.76
1.12 -0.82 2.48 2.78
1.13 -0.83 2.49 2.79
1.14 -0.83 2.5 2.8
1.15 -0.84 2.49 2.8
1.16 -0.85 2.48 2.79
1.18 -0.87 2.46 2.78
1.2 -0.88 2.44 2.75
1.21 -0.89 2.4 2.72
0.99 -0.99 2.4 2.4
0.98 -0.98 2.44 2.44
0.98 -0.98 2.46 2.46
0.98 -0.98 2.48 2.48
0.99 -0.99 2.49 2.49
1.0 -1.0 2.5 2.5
1.01 -1.01 2.49 2.49
1.02 -1.02 2.48 2.48
1.04 -1.04 2.46 2.46
1.05 -1.05 2.44 2.44
1.07 -1.07 2.4 2.4
0.83 -1.13 2.4 2.1
0.82 -1.12 2.44 2.14
0.82 -1.12 2.46 2.17
0.82 -1.12 2.48 2.19
0.83 -1.13 2.49 2.2
0.83 -1.14 2.5 2.2
0.84 -1.15 2.49 2.19
0.85 -1.16 2.48 2.17
0.87 -1.18 2.46 2.15
0.88 -1.2 2.44 2.12
0.89 -1.21 2.4 2.08
0.65 -1.25 2.4 1.8
0.64 -1.23 2.44 1.84
0.64 -1.23 2.46 1.87
0.64 -1.23 2.48 1.89
0.64 -1.24 2.49 1.9
0.65 -1.25 2.5 1.9
0.66 -1.26 2.49 1.89
0.67 -1.28 2.48 1.87
0.68 -1.3 2.46 1.84
0.69 -1.32 2.44 1.8
0.69 -1.33 2.4 1.76
0.45 -1.33 2.4 1.52
0.44 -1.32 2.44 1.56
0.44 -1.31 2.46 1.59
0.44 -1.31 2.48 1.61
0.44 -1.32 2.49 1.62
0.45 -1.33 2.5 1.61
0.45 -1.35 2.49 1.6
0.46 -1.37 2.48 1.58
0.47 -1.39 2.46 1.54
0.47 -1.41 2.44 1.5
0.48 -1.42 2.4 1.45
0.23 -1.38 2.4 1.25
0.23 -1.37 2.44 1.29
0.23 -1.36 2.46 1.33
0.23 -1.36 2.48 1.35
0.23 -1.37 2.49 1.35
0.23 -1.39 2.5 1.34
0.23 -1.4 2.49 1.33
0.24 -1.42 2.48 1.3
0.24 -1.44 2.46 1.26
0.24 -1.46 2.44 1.22
0.25 -1.48 2.4 1.17
0.0 -1.4 2.4 1.0
0.0 -1.39 2.44 1.05
0.0 -1.38 2.46 1.08
0.0 -1.38 2.48 1.1
0.0 -1.39 2.49 1.1
0.0 -1.4 2.5 1.1
0.0 -1.42 2.49 1.07
0.0 -1.44 2.48 1.04
0.0 -1.46 2.46 1.0
0.0 -1.48 2.44 0.96
0.0 -1.5 2.4 0.9
0.0 -1.4 2.4 1.0
0.0 -1.39 2.44 1.05
0.0 -1.38 2.46 1.08
0.0 -1.38 2.48 1.1
0.0 -1.39 2.49 1.1
0.0 -1.4 2.5 1.1
0.0 -1.42 2.49 1.07
0.0 -1.44 2.48 1.04
0.0 -1.46 2.46 1.0
0.0 -1.48 2.44 0.96
0.0 -1.5 2.4 0.9
-0.23 -1.38 2.4 0.79
-0.23 -1.37 2.44 0.84
-0.23 -1.36 2.46 0.87
-0.23 -1.36 2.48 0.89
-0.23 -1.37 2.49 0.89
-0.23 -1.39 2.5 0.88
-0.23 -1.4 2.49 0.86
-0.24 -1.42 2.48 0.83
-0.24 -1.44 2.46 0.78
-0.24 -1.46 2.44 0.73
-0.25 -1.48 2.4 0.67
-0.45 -1.33 2.4 0.62
-0.44 -1.32 2.44 0.68
-0.44 -1.31 2.46 0.71
-0.44 -1.31 2.48 0.73
-0.44 -1.32 2.49 0.73
-0.45 -1.33 2.5 0.72
-0.45 -1.35 2.49 0.69
-0.46 -1.37 2.48 0.66
-0.47 -1.39 2.46 0.61
-0.47 -1.41 2.44 0.56
-0.48 -1.42 2.4 0.5
-0.65 -1.25 2.4 0.51
-0.64 -1.23 2.44 0.56
-0.64 -1.23 2.46 0.6
-0.64 -1.23 2.48 0.61
-0.64 -1.24 2.49 0.61
-0.65 -1.25 2.5 0.6
-0.66 -1.26 2.49 0.57
-0.67 -1.28 2.48 0.54
-0.68 -1.3 2.46 0.49
-0.69 -1.32 2.44 0.43
-0.69 -1.33 2.4 0.37
-0.83 -1.13 2.4 0.44
-0.82 -1.12 2.44 0.49
-0.82 -1.12 2.46 0.53
-0.82 -1.12 2.48 0.54
-0.83 -1.13 2.49 0.54
-0.83 -1.14 2.5 0.53
-0.84 -1.15 2.49 0.5
-0.85 -1.16 2.48 0.46
-0.87 -1.18 2.46 0.41
-0.88 -1.2 2.44 0.36
-0.89 -1.21 2.4 0.3
-0.99 -0.99 2.4 0.41
-0.98 -0.98 2.44 0.47
-0.98 -0.98 2.46 0.5
-0.98 -0.98 2.48 0.52
-0.99 -0.99 2.49 0.52
-1.0 -1.0 2.5 0.51
-1.01 -1.01 2.49 0.48
-1.02 -1.02 2.48 0.44
-1.04 -1.04 2.46 0.39
-1.05 -1.05 2.44 0.33
-1.07 -1.07 2.4 0.27
-1.13 -0.83 2.4 0.44
-1.12 -0.82 2.44 0.49
-1.12 -0.82 2.46 0.53
-1.12 -0.82 2.48 0.54
-1.13 -0.83 2.49 0.54
-1.14 -0.83 2.5 0.53
-1.15 -0.84 2.49 0.5
-1.16 -0.85 2.48 0.46
-1.18 -0.87 2.46 0.41
-1.2 -0.88 2.44 0.36
-1.21 -0.89 2.4 0.3
-1.25 -0.65 2.4 0.51
-1.23 -0.64 2.44 0.56
-1.23 -0.64 2.46 0.6
-1.23 -0.64 2.48 0.61
-1.24 -0.64 2.49 0.61
-1.25 -0.65 2.5 0.6
-1.26 -0.66 2.49 0.57
-1.28 -0.67 2.48 0.54
-1.3 -0.68 2.46 0.49
-1.32 -0.69 2.44 0.43
-1.33 -0.69 2.4 0.37
-1.33 -0.45 2.4 0.62
-1.32 -0.44 2.44 0.68
-1.31 -0.44 2.46 0.71
-1.31 -0.44 2.48 0.73
-1.32 -0.44 2.49 0.73
-1.33 -0.45 2.5 0.72
-1.35 -0.45 2.49 0.69
-1.37 -0.46 2.48 0.66
-1.39 -0.47 2.46 0.61
-1.41 -0.47 2.44 0.56
-1.42 -0.48 2.4 0.5
-1.38 -0.23 2.4 0.79
-1.37 -0.23 2.44 0.84
-1.36 -0.23 2.46 0.87
-1.36 -0.23 2.48 0.89
-1.37 -0.23 2.49 0.89
-1.39 -0.23 2.5 0.88
-1.4 -0.23 2.49 0.86
-1.42 -0.24 2.48 0.83
-1.44 -0.24 2.46 0.78
-1.46 -0.24 2.44 0.73
-1.48 -0.25 2.4 0.67
-1.4 0.0 2.4 1.0
-1.39 0.0 2.44 1.05
-1.38 0.0 2.46 1.08
-1.38 0.0 2.48 1.1
